2     /home/jake/Julia/rays/juliarays/Rays.jl; clamp_rgb8; line: 55
                 7 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 161
                  1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 134
                  1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
                  3 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
                  2 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
                 2 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 184
                  2 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
                 4 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
                  2 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 161
                   1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 137
                   1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 138
                  1 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 184
                   1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 152
                  1 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
                   1 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
                    1 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
                     1 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 205
                      1 /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 161
                       1 /home/jake/Julia/rays/juliarays/Rays.jl; intersect_test; line: 136
             3    /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
            203  /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
           5     /home/jake/Julia/rays/juliarays/Rays.jl; render!; line: 279
           4     /home/jake/Julia/rays/juliarays/Rays.jl; sample_world; line: 161
           10    /home/jake/Julia/rays/juliarays/Rays.jl; unit; line: 28
           11    operators.jl; *; line: 48
           5     operators.jl; +; line: 48
40    operators.jl; *; line: 48
36    operators.jl; +; line: 48
